Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",832
"Sioux City, IA-NE-SD Metropolitan Statistical Area",452
"Lincoln, NE Metropolitan Statistical Area",647
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2020 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2022, Federal Trade Commission",
