Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Aguadilla-Isabela, PR Metropolitan Statistical Area",136
"Arecibo, PR Metropolitan Statistical Area",137
"Ponce, PR Metropolitan Statistical Area",147
"San Germán, PR Metropolitan Statistical Area",129
"San Juan-Bayamón-Caguas, PR Metropolitan Statistical Area",209
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2020, Federal Trade Commission",
