Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",559
"Hilo, HI Micropolitan Statistical Area",486
"Urban Honolulu, HI Metropolitan Statistical Area",458
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2018 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2019, Federal Trade Commission",
