Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,Reports per 100K Population
"Augusta-Waterville, ME Micropolitan Statistical Area",169
"Bangor, ME Metropolitan Statistical Area",139
"Lewiston-Auburn, ME Metropolitan Statistical Area",208
"Portland-South Portland, ME Metropolitan Statistical Area",204
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
