Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",989
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",1007
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",1116
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",1690
"Trenton-Princeton, NJ Metropolitan Statistical Area",1218
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",796
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
