Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Logan, UT-ID Metropolitan Statistical Area",591
"Ogden-Clearfield, UT Metropolitan Statistical Area",770
"Provo-Orem, UT Metropolitan Statistical Area",692
"Salt Lake City, UT Metropolitan Statistical Area",916
"St. George, UT Metropolitan Statistical Area",863
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2019 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2021, Federal Trade Commission",
